,Datetime,AvgPrice
222,18-11-2011,4375
223,21-11-2011,4235.5
224,22-11-2011,4517
225,23-11-2011,4140
226,24-11-2011,4686
227,25-11-2011,4300
228,28-11-2011,4024.5
229,29-11-2011,3889
230,30-11-2011,3906
231,01-12-2011,3709
232,02-12-2011,4016
233,05-12-2011,3960
234,07-12-2011,4150
235,08-12-2011,4555
236,09-12-2011,4369
237,12-12-2011,4072
238,13-12-2011,4563
239,14-12-2011,4215
240,15-12-2011,4750
241,16-12-2011,4290.5
242,17-12-2011,4784
243,19-12-2011,4125
244,20-12-2011,4200
245,21-12-2011,4691
246,22-12-2011,4539
247,23-12-2011,4574
248,26-12-2011,4627
249,27-12-2011,4645
250,28-12-2011,4563
251,29-12-2011,4697
252,30-12-2011,4914
253,02-01-2012,4432
254,03-01-2012,4361
255,04-01-2012,4372.5
256,05-01-2012,4028
257,06-01-2012,3958.5
258,09-01-2012,4430.5
259,10-01-2012,4745
260,11-01-2012,4726.5
261,12-01-2012,4659.5
262,13-01-2012,4990
263,18-01-2012,3807
264,19-01-2012,4545.5
265,20-01-2012,5026.5
266,23-01-2012,4981
267,24-01-2012,4940
268,25-01-2012,4300
269,27-01-2012,4117.5
270,30-01-2012,4511
271,31-01-2012,5268.5
272,01-02-2012,4916
273,02-02-2012,5221
274,03-02-2012,5452
275,06-02-2012,5850
276,07-02-2012,4925
277,08-02-2012,3954.5
278,09-02-2012,4552.5
279,10-02-2012,4869
280,13-02-2012,4746.5
281,14-02-2012,4449.5
282,15-02-2012,4156
283,16-02-2012,4562
284,17-02-2012,4700
285,20-02-2012,4700
286,21-02-2012,4595
287,22-02-2012,4550.5
288,23-02-2012,4550
289,24-02-2012,4625
290,27-02-2012,4609.5
291,28-02-2012,4451
292,29-02-2012,4550
293,01-03-2012,4731
294,02-03-2012,4625
295,05-03-2012,5080.5
296,06-03-2012,4547
297,07-03-2012,4451.5
298,08-03-2012,4614
299,09-03-2012,4600
300,12-03-2012,4779.5
301,13-03-2012,4642.5
302,14-03-2012,4438
303,15-03-2012,4575
304,16-03-2012,4509
305,19-03-2012,4625
306,20-03-2012,4700
307,21-03-2012,4939
308,22-03-2012,4707
309,26-03-2012,4650
310,27-03-2012,4710
311,28-03-2012,4650
312,29-03-2012,4650
313,30-03-2012,4648
314,31-03-2012,4473
315,02-04-2012,4650
316,03-04-2012,4644
317,04-04-2012,4399
318,05-04-2012,4669
319,09-04-2012,4463
320,10-04-2012,4650
321,11-04-2012,4565
322,12-04-2012,4533.5
323,16-04-2012,4641.5
324,17-04-2012,4805
325,18-04-2012,4760
326,19-04-2012,4703
327,20-04-2012,4574.5
328,23-04-2012,4549
329,24-04-2012,4950
330,25-04-2012,4762
331,26-04-2012,4611
332,27-04-2012,4794.5
333,30-04-2012,4826
334,01-05-2012,4716
335,02-05-2012,4785
336,03-05-2012,4690
337,04-05-2012,5000
338,07-05-2012,4725
339,08-05-2012,4826
340,09-05-2012,4782.5
341,10-05-2012,4666
342,11-05-2012,4677
343,14-05-2012,4970
344,15-05-2012,4755.5
345,16-05-2012,5037.5
346,17-05-2012,5488
347,18-05-2012,5124
348,21-05-2012,4925
349,22-05-2012,5062.5
350,23-05-2012,5200
351,24-05-2012,4850
352,25-05-2012,4899
353,28-05-2012,4760.5
354,29-05-2012,4800
355,30-05-2012,4686.5
356,31-05-2012,5562.5
357,01-06-2012,5187
358,04-06-2012,5603.5
359,05-06-2012,5690.5
360,06-06-2012,5318
361,07-06-2012,5320
362,08-06-2012,5324
363,11-06-2012,5280
364,12-06-2012,5143
365,13-06-2012,5032
366,14-06-2012,4920
367,15-06-2012,4800
368,18-06-2012,4869.5
369,19-06-2012,4972
370,20-06-2012,4840
371,21-06-2012,4847
372,22-06-2012,4925
373,25-06-2012,4950
374,26-06-2012,5050
375,27-06-2012,5020
376,28-06-2012,4771
377,29-06-2012,5100
378,02-07-2012,5197.5
379,03-07-2012,4985
380,04-07-2012,5218.5
381,05-07-2012,5722
382,06-07-2012,5549
383,09-07-2012,5554
384,10-07-2012,5050
385,11-07-2012,5711.5
386,12-07-2012,5870.5
387,13-07-2012,5050
388,16-07-2012,5050
389,17-07-2012,5050
390,18-07-2012,6073
391,19-07-2012,5700
392,20-07-2012,5050
393,23-07-2012,5609
394,24-07-2012,5737
395,25-07-2012,5053
396,26-07-2012,5050
397,27-07-2012,5099
398,30-07-2012,5397
399,31-07-2012,5168
400,01-08-2012,6061
401,02-08-2012,5843
402,03-08-2012,5644
403,06-08-2012,5600
404,07-08-2012,5360
405,08-08-2012,5848
406,10-08-2012,5233
407,13-08-2012,5605.5
408,14-08-2012,5596
409,16-08-2012,5679.5
410,17-08-2012,5300
